ad,area,sales
paper,1,75
radio,1,69
people,1,63
display,1,52
paper,2,57
radio,2,51
people,2,67
display,2,61
paper,3,76
radio,3,100
people,3,85
display,3,61
paper,4,77
radio,4,90
people,4,80
display,4,76
paper,5,75
radio,5,77
people,5,87
display,5,57
paper,6,72
radio,6,60
people,6,62
display,6,52
paper,7,76
radio,7,33
people,7,70
display,7,33
paper,8,81
radio,8,79
people,8,75
display,8,69
paper,9,63
radio,9,73
people,9,40
display,9,60
paper,10,94
radio,10,100
people,10,64
display,10,61
paper,11,54
radio,11,61
people,11,40
paper,12,70
radio,12,68
people,12,67
display,12,66
paper,13,87
radio,13,68
people,13,51
display,11,41
display,13,65
paper,14,65
radio,14,63
people,14,61
display,14,58
paper,15,65
radio,15,83
people,15,75
display,15,50
paper,16,79
radio,16,76
people,16,64
display,16,44
paper,17,62
radio,17,73
people,17,50
display,17,45
paper,18,75
radio,18,74
people,18,62
display,18,58
paper,1,68
radio,1,54
people,1,58
display,1,41
paper,2,75
radio,2,78
people,2,82
display,2,44
paper,3,83
radio,3,79
people,3,78
display,3,86
paper,4,66
radio,4,83
people,4,87
display,4,75
paper,5,66
radio,5,74
people,5,70
display,5,75
paper,6,76
radio,6,69
people,6,77
display,6,63
paper,7,70
radio,7,68
people,7,68
display,7,52
paper,8,86
radio,8,75
people,8,61
display,8,61
paper,9,62
radio,9,65
people,9,55
display,9,43
paper,10,88
radio,10,70
people,10,76
display,10,69
paper,11,56
radio,11,53
people,11,70
display,11,43
paper,12,86
radio,12,73
people,12,77
display,12,51
paper,13,84
radio,13,79
people,13,42
display,13,60
paper,14,77
radio,14,66
people,14,71
display,14,52
paper,15,78
radio,15,65
people,15,65
display,15,55
paper,16,80
radio,16,81
people,16,78
display,16,52
paper,17,62
radio,17,57
people,17,37
display,17,45
paper,18,70
radio,18,65
people,18,83
display,18,60
